用户,时间,内容
社畜茶水间,2024年03月08日 21:11  来自 2号咖啡机iPhone 11,"c
社畜茶水间
2024年03月08日 21:11  来自 2号咖啡机iPhone 11
投稿：
我失败的前半生
茶，我又要失业了……给大家分享分享我的历程，可能能帮大家及时调整自己的规划避避坑吧。

本科和硕士都选了非常小众的工科专业，当时经济形势还不错，没有对任何行业产生过下滑或者萎缩的担忧，硕士毕业后也就开始在本专业内工作。但是这个行业本来规模就不大，现在又处于萎缩 展开c"
老王的BOSS圈,2024年02月28日 10:28  来自 微博搜索,"c
老王的BOSS圈
2024年02月28日 10:28  来自 微博搜索
#董宇辉不能既享受流量红利又逃避舆论# 董宇辉如何用流量征服质疑？
在这个信息爆炸的时代，网红们的一言一行都牵动着无数网友的目光。董宇辉，作为互联网上的一颗璀璨明星，其高流量内容吸引了大量粉丝的关注，同时也不可避免地面临着来自四面八方的舆论挑战与质疑。今天，老王和你一起来深入探讨一下 展开c"
老王的BOSS圈,2024年02月22日 05:58  来自 微博网页版,"c
老王的BOSS圈
2024年02月22日 05:58  来自 微博网页版
#职场指南 #职场心理 #职业发展 职场生存法则：少说多做还是多说少做？
不管是职场小白，还是职场老司机都面临一个困惑：人在职场，是少说多做还是多说少做？就像昨天，老王遇到一个案例：张女士，33岁，一家互联网公司的中层管理者，近期遇到非常烦心的事情。那就是她的直接领导对她有“看法”。原因 展开c"
努力毕业版奥子Olivia,2024年01月27日 13:10  来自 iPhone客户端,"c
努力毕业版奥子Olivia
2024年01月27日 13:10  来自 iPhone客户端
上个分享打工的帖子下有朋友问直播带货这份工作怎么样的哈，我给大家细细说来你们再参考参考要不要入行，分为四个部分：入行要求、行业现状、个人感受、个人想法。

首先是1⃣️入行要求
中专以上/大专以上
不太看重学历，看中销售的能力和脸，这里的脸不单纯指“好不好看”，而且“合不合适”， 展开c"
卜来又卜去,2024-01-19 16:05 转赞人数超过200  来自 iPhone 13 Pro Max,"c
卜来又卜去
2024-01-19 16:05 转赞人数超过200  来自 iPhone 13 Pro Max
经常被问为啥两个外地人跑来福建定居
之前都说不知道，后来认真想了下

1️⃣白哥纯纯因为北方人没来过南方，好奇南方生活，加上校招被福建大厂招过来就卷铺盖下南方来玩玩了，朴实无华的理由；我是早先我爸在这边有工作，毕业后过了一阵子和初恋分手了就说换个环境呆呆（那段烂感情彻底改 展开c"
古月两青水,2024年01月12日 18:27  来自 微博网页版,"c
古月两青水
2024年01月12日 18:27  来自 微博网页版
《工作五年，害怕被这个世界抛弃，怎么办？》

因为弄自媒体，结识了很多朋友。虽然大多数日子里，我们都是点赞之交，可一旦遇到什么事情，随时都能开展一段深入的对谈。

上周我收到Z同学的留言，聊了工作、学习、AI时代这些话题。Z同学的问题比较模糊，更多的是对自己情况的阐述；我的回复也并不周全 展开c"
北落的师门,2024年01月05日 17:10  来自 iPhone 11 Pro,"c
北落的师门
2024年01月05日 17:10  来自 iPhone 11 Pro
【如何穿越职业生涯的牛熊-北落答疑】-#北落碎碎念#

网友提问：师座您好，我是20年在同事的推荐下入市的，从什么都不懂到小有了解，感谢您及市场上优秀的人的科普。

这三年来是我经历的第一次牛熊，时至今下我依然对我国经济充满了乐观，憧憬着未来；但是在市场弱势之下，我想请教一下在

您是怎么 展开c"
关雅荻,2023年12月25日 11:32  来自 iPhone 12 Pro Max,"c
关雅荻
2023年12月25日 11:32  来自 iPhone 12 Pro Max
昨晚的#关雅荻吾爱西尼马##电影年会不能停#活动现场实录
非常热闹~#跨年电影愿#

感谢董润年和应萝佳临时抽空来到影院现场跟观众互动~

本期主要内容：

00:06 大鹏向「吾爱西尼马」听友推荐《年会不能停！》

01:50 关雅荻介绍本场活动和电影《年会不能停！》背景

05:48 观众1：影片对生活有真正的 展开c"
阳光普照大地万秋,2023年12月19日 08:57  来自 Xiaomi Civi 2,"c
阳光普照大地万秋
2023年12月19日 08:57  来自 Xiaomi Civi 2
为人处世的30条

在当今社会，为人处世已经成为了成功的关键要素之一。
不论你是在职场奋斗，还是与家人朋友相处，为人处世的细节决定着我们的人际关系和未来前途。
今天，给大家分享30条为人处世的细节。让你成为一个更受欢迎的人。

1、不要欺骗他人，始终遵守你的承诺。答应别人的事情，确保你能够 展开c"
Constance来杯手冲吧,2023年12月16日 21:04  来自 HUAWEI P50 Pro,"c
Constance来杯手冲吧
2023年12月16日 21:04  来自 HUAWEI P50 Pro
我就知道他不会走。

我从来不关心任何直播，
只关心我在大促季能省多少钱，
作为一个刚下载抖音一周的用户，
我没有看过任何一场东方甄选的直播。

董宇辉火起来的时候，
我才知道新东方在直播带货，
用一种中英混杂、独特且不可替代性很强的方式进军如火如荼的直播带货行业，
以挽救K12毁灭性的打击 展开c"
幸运羊羊123,2023年12月13日 16:26  来自 微博网页版,"c
幸运羊羊123
2023年12月13日 16:26  来自 微博网页版
其他生活体验：北京/成都/深圳微博正文

来分享一下杭州的生活体验吧
想到哪写到哪
来杭州将近半年了～不足之处欢迎补充

转眼来杭州将近半年了
时间真是一转眼
杭州的生活节奏很快，忙碌，充实，有目标感
是呆过的城市里唯一一个正向搞钱氛围浓厚的地方
这边的观念比较接近重商主义，尊重 展开c



































































幸运羊羊123 的微博
看到喵子写了几个城市不同的生活体验 http://t.cn/A6CqSxdu 作为普通打工人，我也来分享一下 北京/成都/深圳 以后还可能去下广州/福州/杭州"
虎嗅APP,2023年12月07日 21:00  来自 微博网页版,"c
虎嗅APP
2023年12月07日 21:00  来自 微博网页版
【秋招落幕，二本生的简历石沉大海】

最新数据显示，2024年毕业生人数将达历史新高：1179万。而在维持8年高速增长后，2024年全国研究生考试报考人数为438万，较去年下降了36万。这意味着，直接就业或许成为更多应届生的选择。

拿下秋招，无异于拿到职场直通卡。今年的秋招从一开始就裹挟着“血雨腥风 展开c"
这是Stella呀哦啊,2023年11月30日 12:00  来自 iPhone客户端,"c
这是Stella呀哦啊
2023年11月30日 12:00  来自 iPhone客户端
那些真正会搞钱的人，做事方法都是相似的

「像强者学习」是之前在500强外企时leader经常讲的一句话
我一直有个利用碎片时间听书的习惯，每次不知如何行动时，我都会在脑海中搜索书中的片段，代入作者的视角，借鉴他们的做事方式。如果是他，将会如何解决这个问题？
今天就来和大家分享一下，我在搞钱 展开c"
玖儿嘟嘟嘟噜,2023年11月25日 09:54  来自 荣耀30 5G,"c
玖儿嘟嘟嘟噜
2023年11月25日 09:54  来自 荣耀30 5G
被互联网朋友治愈的一天
以后你进入职场，你可能会遇到很多不公平的事，这些不公平都是客观存在的，我不是让你放弃争取机会或者变得温吞，我是希望你从心态上知道这些问题的存在不是因为你才出现的，我希望你平和地接受这些不公平。"
阿葱,2023-11-11 20:37 转赞人数超过200  来自 熬夜小能手,"c
阿葱
2023-11-11 20:37 转赞人数超过200  来自 熬夜小能手
#我可以47# 在体能对抗的综艺「我可以47」里，看到了典型的职场生态。
节目的对抗难度很高，两队需要徒手攀岩过铁索桥，再从桥两端固定好放置板子的铁链，然后两队再从桥两边同时开始铺设桥板。等桥合拢之后，还要将1吨重的物资搬运过桥。整个项目对对抗双方的体力、耐性、心态、情绪，尤其是团队协作 展开c



















动图"
为好优姐姐,2023年10月29日 10:06  来自 为好优求职超话,"c
为好优姐姐
2023年10月29日 10:06  来自 为好优求职超话
新媒体怎么入门？
如今确实新媒体运营炽手可热，很多人看着网上各种博主的爆火，自己也是跃跃欲试。其实也并不是不可以，只是如果要想成功也确实需要一定的规划，而不是一股脑分享自己的“日常vlog”。具体而言，可以从以下几方面入手：
首先：需要明确自己的方向与受众。如果只是单纯的在网上分享自己 展开c"
社畜茶水间,2023-10-18 20:19 转赞人数超过200  来自 2号咖啡机iPhone 11,"c
社畜茶水间
2023-10-18 20:19 转赞人数超过200  来自 2号咖啡机iPhone 11
投稿：
茶茶好，大家工作辛苦了！今天想请问一下大家对“各方面条件都不是很有竞争力的”应届毕业生去北上广深漂的看法是什么呀？

双非文科应届已在家乡某二线城市上班三个月（很痛苦准备裸辞），有互联网大厂和媒体的运营实习经历，无过硬的专业技能。家庭情况不算很差，择业期或者备考期可以简单啃 展开c"
Scalers,2023年10月17日 14:40  来自 微博网页版,"c
Scalers
2023年10月17日 14:40  来自 微博网页版
“数字游民”这个新兴职业，你准备好了没？

最近看到“数字游民”的概念，有很多人在讨论。

所谓“数字游民”，就是一种生活方式，你不用在固定位置上班，能利用互联网远程创造收入，可以自由移动。于是，利用汇率差、物价差、空间差，你可以在全球各地工作，进而提高生活质量。

如果对照来看，十年 展开c"
啾咪一只小可爱_,2023-09-14 09:05 转赞人数超过10  来自 iPhone客户端,"c
啾咪一只小可爱_
2023-09-14 09:05 转赞人数超过10  来自 iPhone客户端
最近和朋友们聊了不少，想写点东西记录下这三年。
当年高考成功上岸，但因为差点缘分没能来上海去了北京，成了一点说大不大说小不小的遗憾，那时候立志未来有机会一定要去上海实习，甚至去那里工作，对上海的执念一直持续了三年。但我始终记得，三年前的我有一个很坚定的目标：我要多实习，要往上爬， 展开c"
乐潇的律职会客厅,2023年09月08日 09:07  来自 iPad Pro,"c
乐潇的律职会客厅
2023年09月08日 09:07  来自 iPad Pro
#每天分享点什么#
最近，开始找工作，重新反思了我上一份全职工作的失败之处，如果倒回到四年前，我会避开这些坑，调整自己的思维模式，做一个更能适应职场的职场人。

1. “打工心态”一定不会快乐
我当时去的是一家创业型的互联网公司做运营，很忙，996是常态。我经常会抱怨公司就给我这点钱，却拿 展开c"
虎嗅APP,2023-09-08 08:58 转赞人数超过10  来自 微博网页版,"c
虎嗅APP
2023-09-08 08:58 转赞人数超过10  来自 微博网页版
【咱中年人再难，能比应届生还难？】

过去两周里，聊了3～4位HR同行。包括有咨询公司的同行，也包括当年在猎头公司的老同事们。

作为80后人力资源从业者，我们的谈资很有限：孩子，我们这代人的娃基本上开始卷读书了；工作，各家公司都半死不活，聊了一圈，没一家说自己公司欣欣向荣的；市场环境，比 展开c"
OnceAgainZzZ,2023年08月21日 00:45  来自 iPhone客户端,"c
OnceAgainZzZ
2023年08月21日 00:45  来自 iPhone客户端
现在是周日的晚上，经历了一个周末的心灵按摩，此时此刻我的心情和周中上班时的心情已截然不同，原本周五下班后脑子里存在的那些想表达的观点，在此时此刻，不是已经忘了就是改变了看法😂（双休的重要性，人确实需要一松一弛）
照例先谈一下我这一周overall的感受：
- 这周主打一个逐渐熟悉，少了一 展开c"
EC品牌观察,2023年08月16日 23:06  来自 微博网页版,"c
EC品牌观察
2023年08月16日 23:06  来自 微博网页版
「中产阶级的诞生」
诞生于GDP处于中高增速阶段+优势产业崛起带来高薪岗位和产业机会+房子股票等财富储存器带来财富增长这样的宏观背景下。
GDP 增速：做大蛋糕的速度，有增量日子才会越来越好，很多问题可以在发展中解决，但经济增速越来越慢是每个经济体都无法避免的命运。
经济增速三个平台期，中枢 展开c"
说给美少女的洞爷,2023年07月31日 21:20  来自 NrqsbAndroid,"c
说给美少女的洞爷
2023年07月31日 21:20  来自 NrqsbAndroid
【投稿】姐妹们，我想来求大家帮忙调理下我工作心态我是去年毕业出来找工作，转行做了新媒体，第一家公司是刻板印象里那种很卷的互联网公司，底薪不高，每个人都为了提成奋斗，干了半年实在太累了于是辞职。之后找到一家传统行业的公司，老板刚准备发展新媒体，特意成立了个部门就我一个人，公司 展开c"
宝坻发布,2023年07月24日 09:12  来自 微博网页版,"c
宝坻发布
2023年07月24日 09:12  来自 微博网页版
【“00后”就业：努力就有收获】
又到了一年一度的就业季，找到心仪工作的毕业生已经开始做入职准备，还未“上岸”的毕业生正处于紧张焦虑的状态。人力资源管理专家说，“00后”就业有新特点，而两位非重点大学毕业生的成功求职经历，很好地诠释了该如何放平心态找工作。

考研失败不怕 工作依旧出 展开c





























天津日报数字报刊平台
关注高校毕业生就业 “00后”就业：努力就有收获 放平心态找工作 在实践中丰满羽翼 专业人士给出..."
学姐许多钱,2023年07月13日 17:59  来自 微博网页版,"c
学姐许多钱
2023年07月13日 17:59  来自 微博网页版
“因为粗心马虎犯了一点小错被批评，心态很崩溃”

富婆群里一位粉丝提出这个问题之后，居然有很多姐妹都遭遇过这种烦恼！！我曾经也认为：粗心马虎这种小错，是要比刻意释怀犯大错更可怕的！因为“小错本可避免”，但现在看来并不是～

只要是人，就会有注意力的偏差，比如我此刻在码字写微博，自然注 展开c"
社畜茶水间,2023-06-30 19:07 转赞人数超过100  来自 2号咖啡机iPhone 11,"c
社畜茶水间
2023-06-30 19:07 转赞人数超过100  来自 2号咖啡机iPhone 11
投稿：
茶茶好，我是一个底层互联网打工人，目前收到2个offer各有特点，纠结半个月无果，求各位兄弟姐妹帮忙出出主意！"
闫晓雨Esse,2023-06-11 18:26 转赞人数超过10  来自 微博网页版,"c
闫晓雨Esse
2023-06-11 18:26 转赞人数超过10  来自 微博网页版
年轻人们越来越“难”了。
这种难，是这个时代愈发显得花团锦簇，走进喜宴里，却发现流水席上都是填不饱肚子假模假样的模板选择。
年轻人看起来选择越来越多了，考公考编、进大厂、创业、数字游民……整个互联网就像一个巨大的游乐市集，招募着年轻人们加入成为“主宰人生”的摊主，事实上，绝大多数热 展开c"
争气孔,2023-05-30 12:02 转赞人数超过1200  来自 iPhone 13 Pro,"c
争气孔
2023-05-30 12:02 转赞人数超过1200  来自 iPhone 13 Pro
我怕我明天没时间写，晚上趁热打铁起来写写我当时是怎么决定辞职的。

下定决心从来不是立刻当下马上的，是一个很循序渐进的过程，我是有天发现自己买的很肥的裤子腰突然快穿不上了，很懵，因为那个裤子我毫不夸张的讲之前就是腰多出来一圈，可以再多塞进去1/3个我。

我女朋友看我很难过，当时跟我说 展开c"
杭州金融女民工,2023-05-11 18:42 转赞人数超过900,"c
杭州金融女民工
2023-05-11 18:42 转赞人数超过900
有人说董明珠和格力压榨孟羽童导致她离职。

这我要说一句了，我农村来的，钱和资源到位了，我可以睡在单位不回家

孟羽童在格力得到的一切，远超她一个应届毕业生能给格力带来的东西。

如果我是她，即使顶着黑眼圈离开格力，我也会真诚地感激格力和董明珠。因为与孟羽童相比，绝大部分打工人， 展开c"
紫去独闲,2023-04-30 06:20 转赞人数超过500  来自 iPhone 14 Pro Max,"c
紫去独闲
2023-04-30 06:20 转赞人数超过500  来自 iPhone 14 Pro Max
【紫，来投个稿寻求一下大家的建议
麻烦腻死，谢谢！

简略版本：刚入职4天就不想干了怎么办

下面背景可能比较长我先说我自己的方案看看可不可行：如果我五一之后正式开始接触相关业务还是学不进看不进，就尝试和hr交流讨论换岗可能性，试试还有没有我比较合适的岗位空缺的可以去

我是今年硕士毕业校 展开c"
童慢慢plus,2023年04月09日 18:51,"c
童慢慢plus
2023年04月09日 18:51
肯定是年薪100万厉害。

我自己做小买卖一年也赚到过100万利润，现在做个员工一个月几千还担心公司关门。

自己做生意这个事情，有时候就是站巧了，抓住机会了，钱就是你的。我是一个70后，不愁钱，刚刚毕业就赶上第一次互联网浪潮，我会点美工，自学过PS啊FP、DW啊这些工具，开始做网站。一开始自己做 展开c"
九筒键车,2023年04月05日 10:02  来自 微博网页版,"c
九筒键车
2023年04月05日 10:02  来自 微博网页版
这两天B站一些up主停更的事，闹得沸沸扬扬，还上了热搜。因为这里面有up主我私下也认识，而且我自己也停更过一个账号，后来秽土转生做了个新号，也就是这个九筒笔记，现在我们是以工作室形式运营，靠做视频吃饭的，所以看到up主停更这事，还是有挺多话想说的。

比如大家关心的，up主停更背后的真正原 展开c"
知总pro-三句话提供价值,2023年03月31日 11:33  来自 微博网页版,"c
知总pro-三句话提供价值
2023年03月31日 11:33  来自 微博网页版
#知名职场博主上线了# 2023年3月31日，周五，招聘日记。

昨天我在@三江学院 ，因为印象里有个支系的表妹，高考一般去了这学校，但是毕业以后去那种婴幼儿教培做的很不错，很早就月薪过万，加上目前规划的未来公司办公用房和宿舍距离这个学校“不算太远”，所以就去了。

去了以后发现，快递柜居然可以 展开c"
新闻晨报,2023年03月29日 18:00  来自 微博网页版,"c
新闻晨报
2023年03月29日 18:00  来自 微博网页版
【38岁哲学硕士、前记者失业半年送外卖引质疑？本人发声】最近，“闪送员陈师傅”陈涛的视频火了。

在视频中自述找不到工作的陈涛，是2011年从四川大学哲学系毕业的硕士，曾做过五六年的文化记者，先后在《中国新闻周刊》和《南方周末》工作过。至今网上还有他的稿子，他还存着做记者时的名片。在离开 展开c"
虎嗅APP,2023年03月27日 20:00  来自 微博网页版,"c
虎嗅APP
2023年03月27日 20:00  来自 微博网页版
#裸辞后生活会变好吗# 【裸辞，地摊，与我的理想生活】

29岁，在工作六年之后，我选择从互联网公司裸辞。之前，我一直从事数据分析工作。事实上，这并非我第一次裸辞。裸辞的起因并非是遭遇了迈不过去的坎，只是和我想要的生活不吻合。

每当我发现自己身处一种痛苦之中，便会试图逃离，通过休息一段 展开c"
易碎小鱼,2023年03月09日 19:53  来自 流浪的iPhone 13,"c
易碎小鱼
2023年03月09日 19:53  来自 流浪的iPhone 13
今天怼了主管一顿神清气爽，发疯真的有用！！
原因是我从入职以来就一个人干两三个人的活，原本我职位还有一个对应职位做搭档双线工作的，可能由于大环境问题，八个月过去了一个人没招到，在超强度的工作压力下我得了情绪性胃反流，还因为焦虑等问题呼吸困难（那时候还以为是阳了白肺了）

我私下反馈 展开c"
汉堡的宝儿_,2023年03月08日 18:41  来自 iPhone 13,"c
汉堡的宝儿_
2023年03月08日 18:41  来自 iPhone 13
美女们妇女节快乐！！

公司今天女性有半天假，提前溜去健身，下班时能看见阳光和满大街的fafa心情超好

作为995互联网产品，成为社会人一年多了，没有别人口中的逐渐发福，身材依旧fit，健身这么久了其实根本没把健身当回事。汉堡哥也常常说我是健身划水者——对自己没有任何身材要求

这么 展开c"
北京青年报,2023年03月07日 17:44  来自 微博网页版,"c
北京青年报
2023年03月07日 17:44  来自 微博网页版
【全国政协委员吕国泉：#建议惩罚设置35岁年龄门槛的企业# ，放开“公考”年龄限制】今年全国两会，青年人就业问题是代表委员聚焦热议的话题之一。近日，全国政协委员吕国泉提交的有关打破35岁“职场天花板”的提案冲上热搜，备受青年关注。如何解决青年心中的职场天花板，如何看待大学生毕业生就业难 展开c"
虎嗅APP,2023-02-24 23:24 转赞人数超过10  来自 微博网页版,"c
虎嗅APP
2023-02-24 23:24 转赞人数超过10  来自 微博网页版
#虎夜聊天室# 【35岁互联网人，重新找工作】

2月份马上就要接近尾声了，“金三银四”即将到来。尽管每年的“金三银四”都被戏称为“铜三铁四”，但这次的求职季，格外令人失望。受疫情影响了三年，每个人都在期待市场的复苏。而在招聘市场上，却迟迟没有苏醒的信号。

受这波招聘焦虑影响最深的，除了 展开c"
羊又走丢了,2023年01月29日 17:07  来自 微博视频号,"c
羊又走丢了
2023年01月29日 17:07  来自 微博视频号
互联网公司黑话： 沙雕程序员之“老板的大饼”。

网友：你吃撑了没，反正我是吐了 ...#it研究所# L羊又走丢了的微博视频
播放视频"
信奥赛吴老师,2023年01月22日 20:17  来自 微博网页版,"c
信奥赛吴老师
2023年01月22日 20:17  来自 微博网页版
#中国奇谭#
看了这个动画感触很深，共鸣点非常多。借此机会写下观后感，因为是观后感，各抒己见。
第一话《小妖怪的夏天》
曾几何时，我是一个互联网的小码农，其实很多职业都是一样的，过着无忧无虑的日子，摸鱼那是在正常不过的事情了，正如片头的小猪妖睡懒觉。突然间被叫去了开会，说是唐僧经过， 展开c"
固安宝德,2023年01月12日 14:23  来自 微博网页版,"c
固安宝德
2023年01月12日 14:23  来自 微博网页版
优秀员工丨榜样的力量（2022年第四季度优秀员工心得分享）

优秀员工是一个公司必不可缺的重要人才，是推动事业发展的中坚力量。其实作为一名优秀的员工，除了品德、工作能力之外，一些良好的工作习惯会使他们更好地发挥潜能，在单位脱颖而出。

小编寄语

首先要恭喜各位优秀员工及销售精英 展开c"
小慌,2023年01月06日 17:52  来自 微博网页版,"c
小慌
2023年01月06日 17:52  来自 微博网页版
一个富人区的地址定位，一幅不知真假的名画，一身不便宜的衣服，再加上年轻的身体，结实的小腿，就疯狂吸粉百万+。等韭菜就位，直播开起，几分钟就收获打赏几十万。

这是短视频时代最牛逼的写作手法。寥寥几笔，效果爆棚。下笔精妙，收笔生猛，收割起来机声隆隆。

如果万柳书院少爷不是冒牌货，那个 展开c"
摘花花呀,2023年01月02日 23:04  来自 iPhone 13,"c
摘花花呀
2023年01月02日 23:04  来自 iPhone 13
我看2022
生活总是太扯，在2022的尾巴给胳膊摔了，现在仿佛端着残肢在码字。
这一年历经了疫情的反复与政策的迭代，也累积了疫情时代给予的难得经历，红绿灯般的健康码像是给日常生活的路途也赋予了“红灯停绿灯行黄灯亮了等一等”的别番体验，无需多言，存在即合理，明天更健康。

在深圳转眼间一年多 展开c"
总裁老福,2023年01月01日 19:31,"c
总裁老福
2023年01月01日 19:31
福总您好，我是刚硕士毕业的应届生，工作半年了，目前就职于互联网行业，但是最近也遇到了自己的职场困惑。

因为一直以来对自己的要求都比较高，很想走在同龄人前列。最近我们出了绩效，我以为我的表现很好，结果是个普通绩效。

我复盘了好久，团队里面高职级的同学贡献确实比我大，但是大家的级 展开c"
睡佛233,2022年12月31日 14:58  来自 iPhone客户端,"c
睡佛233
2022年12月31日 14:58  来自 iPhone客户端
#2022年终总结#
从2022年初天津新冠爆发开始，就在学校开启了长达一年的闭关。大概也是这会，投出去了第一篇会议，结束了自己孱弱的科研，转身投向了尚硅谷。
2022，从3，4月份找暑期实习的折戟沉沙，到7月份提前批的颗粒无收，再到9月份的感谢信收集器，崩溃了很多次，但总是相信自己能收获一个可以 展开c"
球和人都要上进的山鸡,2022年12月27日 23:35  来自 微博轻享版,"c
球和人都要上进的山鸡
2022年12月27日 23:35  来自 微博轻享版
成为吴总张总互动的断层第一☝️哈哈哈哈哈
当然她俩也是我互动的前二位！
以我的发博频率，我怀疑我是很多人“最关注的人”
以及
我居然最爱在上班时间刷微博？？！！我如此不爱工作，已经被互联网看穿穿啦"
飞扬看房,2022年12月26日 09:55  来自 HUAWEI Mate30 Pro 5G,"c
飞扬看房
2022年12月26日 09:55  来自 HUAWEI Mate30 Pro 5G
昨天我家小领导批评我自从做自媒体之后，这两年脾气变差了，动辄生气，说话很难听。

我觉得批评的有道理，接受批评，并愿意改正。

做自媒体，本身工作的强度就很高，然后发的文章有各种评论，前几年的评论还是整体很友好的，近两年由于某些老鼠屎的出现，整个风气被带差了，评论区出现了一些不友好的 展开c"
甜桃小卖部,2022年11月11日 21:58  来自 iPhone客户端,"c
甜桃小卖部
2022年11月11日 21:58  来自 iPhone客户端
之前一直因为工作不开心，今天想明白了一些事情，开心了很多

不开心是因为工作中碰到了非常非常非常不喜欢的同事，用面相学来说是面大鼻小，换句话说是职场绿茶，再换句话说是碰到了喜欢抢功的同事怎么办

刚开始不开心，整个人显得戾气非常重，熟悉的人知道她给我委屈受了，不熟悉的人觉得我怼天怼地 展开c"
风绮啊,2022年09月28日 21:17  来自 微博网页版,"c
风绮啊
2022年09月28日 21:17  来自 微博网页版
#大学生毕业后存钱有多重要#
就这么说吧，钱是英雄胆。
人进入社会，穷一时没要紧，只要敢想肯拼，一定能有丰厚回报。
但成年人长年累月在贫穷中，会遇到让你怀疑人生的时刻数不胜数，心气被“现实”挫伤，思维会受到很大局限，自信心也难以提升，继而更难转圜。

我自己大学毕业后8年多，从存钱这件 展开c"
爱ss的年糕彤,2022年09月21日 21:48  来自 iPhone 13 Pro,"c
爱ss的年糕彤
2022年09月21日 21:48  来自 iPhone 13 Pro
写写之前准备跳槽期间用到的一些app。
有姐妹问，索性详细写一下供参考。
我基本只用到四个：脉脉，boss，牛客，力扣，再加上各大企业招聘官网。

✔️脉脉
脉脉我是一直有在刷的，之前都是在刷职言。
然后有跳槽打算的时候就更新了一下在线简历，并且把自己的求职偏好改成了看机会。

基本上每天都会 展开c"
天才观众桃子酱,2022年07月23日 12:05  来自 微博 weibo.com,"c
天才观众桃子酱
2022年07月23日 12:05  来自 微博 weibo.com
#林妙妙是我互联网嘴替# #林妙妙演我上班#

林妙妙这状态简直就是演我上班啊 “我是上班，还是下地狱呀”就是说这句话感觉已经在我脑内循环了 我单方面宣布林妙妙是我互联网嘴替"
Lucy洛姿姿,2022年07月12日 14:11,"c
Lucy洛姿姿
2022年07月12日 14:11
刚刚更新了一篇读书笔记，是以前就读过的《高效能人士的七个习惯》。

写的时候才发现，原来有的观点已经潜入内心，形成了自己做事的逻辑。

📗《高效能人士的七个习惯》读书笔记✍️

这本书其实已经非常有名了，而且也看过很多人的读书笔记。

很多人都是把它当成案边书、枕边书，经常一读再读，希 展开c"
中国青年报,2022年06月23日 22:27  来自 微博视频号,"c
中国青年报
2022年06月23日 22:27  来自 微博视频号
【#首批00后就业要跨越三大落差#】其实中国目前正处在极其缺人的时代，并不是没有岗位，而是有很多岗位年轻人不愿意做。”北京师范大学艺术系教授张同道多年跟拍记录00后的成长，他认为，年轻人成长环境和工作实际的落差、就业期待和工作能力之间的落差，以及在短时间想要达到某种目标却很难实现的落差 展开c
播放视频"
社畜茶水间,2022年06月23日 16:27  来自 2号咖啡机iPhone 11,"c
社畜茶水间
2022年06月23日 16:27  来自 2号咖啡机iPhone 11
投稿：
茶茶你好，很多话想说，内心实在很焦虑，我是属于想太多的那种人，最近也在找工作，经常想东想西，给自己制造焦虑，唉！碎碎念念，希望大家能看得下去。

20年毕业的普通本科生，学的天坑工科专业机械自动化，在此奉劝各位身边有亲戚朋友有高考的女孩子万不得已千万别选天坑工科专业，除非真的 展开c"
arry老师,2022年05月27日 16:21  来自 续航传奇 Redmi 8A,"c
arry老师
2022年05月27日 16:21  来自 续航传奇 Redmi 8A
下午茶干货：盘点程序员面试遇到的经典问题以及互联网大厂面试流程揭㊙️#程序员#

HR面试程序员的11个经典问题，最难回答，一般程序员面试分为三个阶段（企业不同略有差异）：

[滑雪]初面环节

1、HR初面，一般都是HRBP，初筛合格后再进入下一个阶段；
2、技术一面：基础知识+框架基本使用；OK进入 展开c"
评论员王攀,2022年05月20日 11:55  来自 iPhone客户端,"c
评论员王攀
2022年05月20日 11:55  来自 iPhone客户端
00后为什么敢硬怼老板？
第一，没穷过。
生活条件好，家庭条件好；物资丰富，经济发达。从小就没有缺过钱；而且这个时代，也会有很多赚钱的机会，各种副业，灵活就业等。
你说他为因为工资，受尽领导的气？肯定不会。
在他们的认知里，即便是离开单位，放弃老板，他们仍旧可以走下去。无论社会宽容 展开c"
Time不在场,2022年05月05日 00:30  来自 iPhone客户端,"c
Time不在场
2022年05月05日 00:30  来自 iPhone客户端
开工前emo，我这块在冰箱冻了五天的肉终于又要拿出来放到deadline的水里火里继续烤，工作无脑但累，尤其我这种容易被pua自我贬低的人，已经提前在梦里见识领导的青面獠牙，今天更是从一场面试中惊醒，80%的梦和工作有关，入睡困难也就越发理直气壮。有的人在互联网很快乐，我感觉不快乐，我工作就只为 展开c"
吴学兰,2022年05月04日 12:01  来自 微博视频号,"c
吴学兰
2022年05月04日 12:01  来自 微博视频号
给年轻人的忠告：要有职业忧患意识，学会吃着碗里的看着锅里的#五四青年节# L吴学兰的微博视频
播放视频"
靓仔菇菇,2022年05月01日 17:21  来自 Android,"c
靓仔菇菇
2022年05月01日 17:21  来自 Android
奶爸，想请教您内部转岗如何尽快获得认可？

原先是互联网hrbp，因为部门动乱hrvp转去带业务团队，把我带过去了。

我转岗的初衷，一方面想要更好的待遇，另一方面也是对业务比较感兴趣。

学业务的过程真的觉得精力旺盛，但是总觉得得不到做hr时的认可感。因为我原本的职级就是储备主管，转岗也是平移 展开c
















































这条微博已被删除或者您无权限查看"
